snid,z,mu,emu,x1,ex1,c,ec,salt3_cut,x1_des,c_des,mu_des,muerr_des,cm_mu,cm_emu,cm_mode,cm_failed,K_syst,mu_lcdm
1343871,0.639,43.28189346203483,0.1424664668133144,0.8504636163798711,0.7470954056661965,-0.11014268530189997,0.030826917487965597,,0.64389,-0.18684,42.90786,0.15612,,,,dm15_provenance,,42.8441
1344303,0.09475,38.39996257225116,0.02,-1.0300803997575532,0.12262629368119261,0.17131616653622705,0.00563265160551387,,0.50441,0.19093,38.19696,0.24282,37.7546,0.1458,S,,0.0298,38.1293
1346956,0.334,41.477040720779364,0.047372143007813644,0.3915077298845686,0.2675644724699392,-0.1296714678052957,0.00995072474787805,,1.19581,-0.0676579,41.1466,0.14947,,,,too_few_nights,,41.1644
1368143,0.42463,41.964799591750094,0.047320615639905486,0.8965002045137052,0.260544174003511,0.040991553442009554,0.010330062807897875,,0.82722,0.0519975,41.72135,0.1497,,,L,rms_gate,,41.7768
1368530,0.34336,41.76115043747948,0.0593418235109776,-0.128767757887422,0.32143073489416635,0.03615199996148433,0.016890085734487418,,-0.454523,0.0142396,41.47595,0.16639,41.5907,0.1764,L,,0.0864,41.2343
1371046,0.07411,37.884202548295946,0.02,-0.5585690639134047,0.02210293791662377,0.22874921461201858,0.0024727892059950916,,-0.805749,0.23861,37.60807,0.18104,,,,dm15_provenance,,37.565
1435067,0.39235,41.90657587775461,0.06643315161510913,-1.225548487826714,0.4055267986212539,-0.03686673548760827,0.01556480049854603,,-1.59962,-0.00898704,41.57298,0.15531,,,,dm15_provenance,,41.5738
1479069,0.17353,39.86753032642926,0.02,1.1796041801192487,0.03071653548623556,-0.07235106816785175,0.001971073989478958,,1.48246,-0.0534213,39.59667,0.10068,39.5868,0.1223,L,,0.0781,39.5527
1500031,0.36704,41.88865644287861,0.05041542398411292,0.2640803964209679,0.19658256510695796,-0.026318274791914176,0.012870641595028308,,0.22405,-0.0306452,41.57625,0.14123,41.4178,0.1515,L,,0.1625,41.4036
1502029,0.51921,42.809807496753436,0.11186431152837362,0.9223925187377553,0.49572346597942485,-0.13278934195749048,0.01945259938356606,,0.18751,-0.105931,42.23257,0.12204,42.9264,0.1549,S,,0.1746,42.2984
1504139,0.55708,42.81763399150869,0.03504934310158887,0.7817306897785148,0.12944462802487378,-0.11447218249753055,0.008117313823917331,,0.82039,-0.0915593,42.4424,0.11261,,,L,rms_gate,,42.4827
1530193,0.14893,39.390135223661545,0.02,1.125402326039282,0.019503540892260487,0.06096222312255828,0.0014353758477423264,,1.36907,0.0873241,39.16841,0.16207,,,,dm15_provenance,,39.1878
1574062,0.55144,41.53828437977597,3.4209523018514276,-0.6691749033994041,16.84087226941595,-0.3918521653314702,0.30857044399732586,c,-0.48254,0.0857357,42.76064,0.14285,,,,dm15_provenance,,42.456
1578103,0.16092,39.63810499647717,0.02,-0.5107835204967981,0.07292026556023255,0.15567760612757053,0.007753208100494579,,-0.905189,0.13662,39.39296,0.16618,39.3572,0.127,S,,0.0389,39.3721
1634024,0.5776,44.30821701525642,1.9415955286024895,2.889346589210824,31.290124259750367,-0.39998534641820344,1.2881757409784615,c,-1.42703,-0.00840677,42.7146,0.17032,,,,dm15_provenance,,42.5777
1643063,0.57319,43.46338107148115,0.21439746444991867,0.7336553067123317,0.9714844186769215,-0.1142404701061207,0.06076755061849149,,-0.709446,-0.259534,42.97779,0.19947,,,,dm15_provenance,,42.5575
1703026,0.36491,41.72705078149045,0.08890858907481819,-1.8932575963734322,0.47701099928203583,0.003973564320077283,0.0307328132074344,,-2.61973,-0.0616053,41.52774,0.16558,,,,too_few_nights,,41.3888
